Penyakit,Keterangan
Asma bronkial,"Asma bronkial adalah suatu kondisi medis yang menyebabkan saluran napas paru-paru membengkak dan menyempit. Akibat pembengkakan ini, saluran udara menghasilkan lendir berlebih sehingga sulit bernapas, sehingga mengakibatkan batuk, napas pendek, dan mengi. Penyakit ini bersifat kronis dan mengganggu pekerjaan sehari-hari."
Hepatitis alkoholik,"Hepatitis alkoholik adalah penyakit peradangan hati yang disebabkan oleh konsumsi alkohol dalam jumlah besar dalam jangka waktu lama. Hal ini juga diperburuk oleh pesta minuman keras dan penggunaan alkohol terus-menerus. Jika Anda mengalami kondisi ini, Anda harus berhenti minum alkohol"
Penyakit kuning,"Pewarnaan kuning pada kulit dan sklera (bagian putih mata) disebabkan oleh tingginya kadar pigmen empedu bilirubin dalam darah. Menguningnya meluas ke jaringan lain dan cairan tubuh. Penyakit kuning pernah disebut sebagai ""morbus regius"" (penyakit agung) karena kepercayaan bahwa hanya sentuhan seorang raja yang dapat menyembuhkannya."
Hepatitis E,Suatu bentuk peradangan hati langka yang disebabkan oleh infeksi virus hepatitis E (HEV). Penyakit ini ditularkan melalui makanan atau minuman yang ditangani oleh orang yang terinfeksi atau melalui persediaan air yang terinfeksi di daerah di mana kotoran dapat masuk ke dalam air. Hepatitis E tidak menyebabkan penyakit hati kronis.
demam berdarah,"penyakit menular akut yang disebabkan oleh flavivirus (spesies virus Dengue dari genus Flavivirus), ditularkan oleh nyamuk aedes, dan ditandai dengan sakit kepala, nyeri sendi yang parah, dan ruam. — disebut juga demam patah tulang, demam berdarah."
Hepatitis D,"Hepatitis D, juga dikenal sebagai virus hepatitis delta, adalah infeksi yang menyebabkan peradangan pada hati. Pembengkakan ini dapat mengganggu fungsi hati dan menyebabkan masalah hati jangka panjang, termasuk jaringan parut pada hati dan kanker. Kondisi ini disebabkan oleh virus hepatitis D (HDV)."
Serangan jantung,"Kematian otot jantung akibat hilangnya suplai darah. Hilangnya suplai darah biasanya disebabkan oleh penyumbatan total pada arteri koroner, salah satu arteri yang memasok darah ke otot jantung."
Radang paru-paru,"Pneumonia adalah infeksi pada salah satu atau kedua paru-paru. Bakteri, virus, dan jamur menyebabkannya. Infeksi ini menyebabkan peradangan pada kantung udara di paru-paru Anda, yang disebut alveoli. Alveoli terisi cairan atau nanah, sehingga sulit bernapas."
Radang sendi,"Artritis adalah pembengkakan dan nyeri tekan pada satu atau lebih sendi Anda. Gejala utama arthritis adalah nyeri dan kekakuan sendi, yang biasanya memburuk seiring bertambahnya usia. Jenis radang sendi yang paling umum adalah osteoartritis dan artritis reumatoid."
Gastroenteritis,"Gastroenteritis adalah peradangan pada saluran pencernaan, khususnya lambung, serta usus besar dan kecil. Gastroenteritis virus dan bakteri adalah infeksi usus yang berhubungan dengan gejala diare, kram perut, mual, dan muntah."
TBC,"Tuberkulosis (TB) merupakan penyakit menular yang biasanya disebabkan oleh bakteri Mycobacterium tuberkulosis (MTB). Tuberkulosis umumnya menyerang paru-paru, namun bisa juga menyerang bagian tubuh lainnya. Kebanyakan infeksi tidak menunjukkan gejala, sehingga dikenal sebagai tuberkulosis laten."
