Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4,Gejala_5,Gejala_6,Gejala_7,Gejala_8,Gejala_9,Gejala_10,Gejala_11,Gejala_12,Gejala_13,Gejala_14,Gejala_15,Gejala_16,Gejala_17
Reaksi Obat,gatal, ruam kulit, pembakaran_kemih, bercak_ buang air kecil,,,,,,,,,,,,,
Reaksi Obat,gatal, ruam kulit, sakit perut, bercak_ buang air kecil,,,,,,,,,,,,,
Reaksi Obat,gatal, ruam kulit, sakit perut, pembakaran_kemih,,,,,,,,,,,,,
Penyakit tukak lambung, muntah, kehilangan selera makan, sakit perut, bagian_of_gas, internal_gatal,,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan pencernaan, sakit perut, bagian_of_gas, internal_gatal,,,,,,,,,,,,
Penyakit tukak lambung, gangguan pencernaan, kehilangan selera makan, sakit perut, bagian_of_gas, internal_gatal,,,,,,,,,,,,
Penyakit tukak lambung, muntah, kehilangan selera makan, sakit perut, bagian_of_gas, internal_gatal,,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan pencernaan, sakit perut, bagian_of_gas, internal_gatal,,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan pencernaan, kehilangan selera makan, bagian_of_gas, internal_gatal,,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan pencernaan, kehilangan selera makan, sakit perut, internal_gatal,,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan pencernaan, kehilangan selera makan, sakit perut, bagian_of_gas,,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan pencernaan, kehilangan selera makan, sakit perut, bagian_of_gas, internal_gatal,,,,,,,,,,,
Penyakit tukak lambung, muntah, gangguan pencernaan, kehilangan selera makan, sakit perut, bagian_of_gas, internal_gatal,,,,,,,,,,,
AIDS, pengecilan otot, patch_in_throat, demam tinggi, extra_marital_contacts,,,,,,,,,,,,,
AIDS, patch_in_throat, demam tinggi, extra_marital_contacts,,,,,,,,,,,,,,
AIDS, pengecilan otot, demam tinggi, extra_marital_contacts,,,,,,,,,,,,,,
AIDS, pengecilan otot, patch_in_throat, extra_marital_contacts,,,,,,,,,,,,,,
AIDS, pengecilan otot, patch_in_throat, demam tinggi,,,,,,,,,,,,,,
AIDS, pengecilan otot, patch_in_throat, demam tinggi, extra_marital_contacts,,,,,,,,,,,,,
AIDS, pengecilan otot, patch_in_throat, demam tinggi, extra_marital_contacts,,,,,,,,,,,,,
AIDS, patch_in_throat, demam tinggi, extra_marital_contacts,,,,,,,,,,,,,,
AIDS, pengecilan otot, demam tinggi, extra_marital_contacts,,,,,,,,,,,,,,
AIDS, pengecilan otot, patch_in_throat, demam tinggi,,,,,,,,,,,,,,
Diabetes, kelelahan, berat_penurunan, kegelisahan, kelesuan, kadar_gula_tidak teratur, penglihatan_kabur_dan_terdistorsi_, kegemukan, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,
Diabetes, kelelahan, berat_penurunan, kegelisahan, kelesuan, kadar_gula_tidak teratur, penglihatan_kabur_dan_terdistorsi_, kegemukan, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,
Diabetes, berat_penurunan, kegelisahan, kelesuan, kadar_gula_tidak teratur, penglihatan_kabur_dan_terdistorsi_, kegemukan, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,,
Diabetes, kelelahan, kegelisahan, kelesuan, kadar_gula_tidak teratur, penglihatan_kabur_dan_terdistorsi_, kegemukan, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,,
Diabetes, kelelahan, berat_penurunan, kelesuan, kadar_gula_tidak teratur, penglihatan_kabur_dan_terdistorsi_, kegemukan, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,,
Diabetes, kelelahan, berat_penurunan, kegelisahan, kadar_gula_tidak teratur, penglihatan_kabur_dan_terdistorsi_, kegemukan, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,,
Diabetes, kelelahan, berat_penurunan, kegelisahan, kelesuan, penglihatan_kabur_dan_terdistorsi_, kegemukan, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,,
Diabetes, kelelahan, berat_penurunan, kegelisahan, kelesuan, kadar_gula_tidak teratur, kegemukan, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,,
Diabetes, kelelahan, berat_penurunan, kegelisahan, kelesuan, kadar_gula_tidak teratur, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, peningkatan_nafsu makan, poliuria,,,,,,,,
Diabetes, kelelahan, berat_penurunan, kegelisahan, kelesuan, kadar_gula_tidak teratur, penglihatan_kabur_dan_terdistorsi_, kegemukan, peningkatan_nafsu makan, poliuria,,,,,,,,
Gastroenteritis, muntah, cekung_mata, dehidrasi, diare,,,,,,,,,,,,,
Gastroenteritis, muntah, cekung_mata, dehidrasi, diare,,,,,,,,,,,,,
Gastroenteritis, cekung_mata, dehidrasi, diare,,,,,,,,,,,,,,
Gastroenteritis, muntah, dehidrasi, diare,,,,,,,,,,,,,,
Gastroenteritis, muntah, cekung_mata, diare,,,,,,,,,,,,,,
Gastroenteritis, muntah, cekung_mata, dehidrasi,,,,,,,,,,,,,,
Gastroenteritis, muntah, cekung_mata, dehidrasi, diare,,,,,,,,,,,,,
Gastroenteritis, cekung_mata, dehidrasi, diare,,,,,,,,,,,,,,
Gastroenteritis, muntah, dehidrasi, diare,,,,,,,,,,,,,,
Gastroenteritis, muntah, cekung_mata, diare,,,,,,,,,,,,,,
Asma bronkial, kelelahan, batuk, demam tinggi, sesak napas, sejarah keluarga, mukoid_dahak,,,,,,,,,,,
Asma bronkial, batuk, demam tinggi, sesak napas, sejarah keluarga, mukoid_dahak,,,,,,,,,,,,
Asma bronkial, kelelahan, demam tinggi, sesak napas, sejarah keluarga, mukoid_dahak,,,,,,,,,,,,
Asma bronkial, kelelahan, batuk, sesak napas, sejarah keluarga, mukoid_dahak,,,,,,,,,,,,
Asma bronkial, kelelahan, batuk, demam tinggi, sejarah keluarga, mukoid_dahak,,,,,,,,,,,,
Asma bronkial, kelelahan, batuk, demam tinggi, sesak napas, mukoid_dahak,,,,,,,,,,,,
Asma bronkial, kelelahan, batuk, demam tinggi, sesak napas, sejarah keluarga,,,,,,,,,,,,
Asma bronkial, kelelahan, batuk, demam tinggi, sesak napas, sejarah keluarga, mukoid_dahak,,,,,,,,,,,
Asma bronkial, batuk, demam tinggi, sesak napas, sejarah keluarga, mukoid_dahak,,,,,,,,,,,,
Asma bronkial, kelelahan, demam tinggi, sesak napas, sejarah keluarga, mukoid_dahak,,,,,,,,,,,,
 Hipertensi, sakit kepala, nyeri dada, pusing, kehilangan_keseimbangan_, kurang konsenterasi,,,,,,,,,,,,
 Hipertensi, nyeri dada, pusing, kehilangan_keseimbangan_, kurang konsenterasi,,,,,,,,,,,,,
 Hipertensi, sakit kepala, pusing, kehilangan_keseimbangan_, kurang konsenterasi,,,,,,,,,,,,,
 Hipertensi, sakit kepala, nyeri dada, kehilangan_keseimbangan_, kurang konsenterasi,,,,,,,,,,,,,
 Hipertensi, sakit kepala, nyeri dada, pusing, kurang konsenterasi,,,,,,,,,,,,,
 Hipertensi, sakit kepala, nyeri dada, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,,
 Hipertensi, sakit kepala, nyeri dada, pusing, kehilangan_keseimbangan_, kurang konsenterasi,,,,,,,,,,,,
 Hipertensi, nyeri dada, pusing, kehilangan_keseimbangan_, kurang konsenterasi,,,,,,,,,,,,,
 Hipertensi, sakit kepala, pusing, kehilangan_keseimbangan_, kurang konsenterasi,,,,,,,,,,,,,
 Hipertensi, sakit kepala, nyeri dada, kehilangan_keseimbangan_, kurang konsenterasi,,,,,,,,,,,,,
Migrain, keasaman, gangguan pencernaan, sakit kepala, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, leher kaku, depresi, sifat lekas marah, gangguan_visual,,,,,,,,
Migrain, gangguan pencernaan, sakit kepala, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, leher kaku, depresi, sifat lekas marah, gangguan_visual,,,,,,,,,
Migrain, keasaman, sakit kepala, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, leher kaku, depresi, sifat lekas marah, gangguan_visual,,,,,,,,,
Migrain, keasaman, gangguan pencernaan, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, leher kaku, depresi, sifat lekas marah, gangguan_visual,,,,,,,,,
Migrain, keasaman, gangguan pencernaan, sakit kepala, berlebihan_kelaparan, leher kaku, depresi, sifat lekas marah, gangguan_visual,,,,,,,,,
Migrain, keasaman, gangguan pencernaan, sakit kepala, penglihatan_kabur_dan_terdistorsi_, leher kaku, depresi, sifat lekas marah, gangguan_visual,,,,,,,,,
Migrain, keasaman, gangguan pencernaan, sakit kepala, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, depresi, sifat lekas marah, gangguan_visual,,,,,,,,,
Migrain, keasaman, gangguan pencernaan, sakit kepala, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, leher kaku, sifat lekas marah, gangguan_visual,,,,,,,,,
Migrain, keasaman, gangguan pencernaan, sakit kepala, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, leher kaku, depresi, gangguan_visual,,,,,,,,,
Migrain, keasaman, gangguan pencernaan, sakit kepala, penglihatan_kabur_dan_terdistorsi_, berlebihan_kelaparan, leher kaku, depresi, sifat lekas marah,,,,,,,,,
Spondylosis serviks, sakit punggung, kelemahan_di_anggota badan, sakit leher, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,
Spondylosis serviks, sakit punggung, kelemahan_di_anggota badan, sakit leher, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,
Spondylosis serviks, kelemahan_di_anggota badan, sakit leher, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,,
Spondylosis serviks, sakit punggung, sakit leher, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,,
Spondylosis serviks, sakit punggung, kelemahan_di_anggota badan, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,,
Spondylosis serviks, sakit punggung, kelemahan_di_anggota badan, sakit leher, kehilangan_keseimbangan_,,,,,,,,,,,,,
Spondylosis serviks, sakit punggung, kelemahan_di_anggota badan, sakit leher, pusing,,,,,,,,,,,,,
Spondylosis serviks, sakit punggung, kelemahan_di_anggota badan, sakit leher, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,
Spondylosis serviks, kelemahan_di_anggota badan, sakit leher, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,,
Spondylosis serviks, sakit punggung, sakit leher, pusing, kehilangan_keseimbangan_,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), muntah, sakit kepala, kelemahan_sisi_satu_tubuh_, diubah_sensorium,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), muntah, sakit kepala, kelemahan_sisi_satu_tubuh_, diubah_sensorium,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), sakit kepala, kelemahan_sisi_satu_tubuh_, diubah_sensorium,,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), muntah, kelemahan_sisi_satu_tubuh_, diubah_sensorium,,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), muntah, sakit kepala, diubah_sensorium,,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), muntah, sakit kepala, kelemahan_sisi_satu_tubuh_,,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), muntah, sakit kepala, kelemahan_sisi_satu_tubuh_, diubah_sensorium,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), sakit kepala, kelemahan_sisi_satu_tubuh_, diubah_sensorium,,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), muntah, kelemahan_sisi_satu_tubuh_, diubah_sensorium,,,,,,,,,,,,,,
Kelumpuhan (pendarahan otak), muntah, sakit kepala, diubah_sensorium,,,,,,,,,,,,,,
Penyakit kuning,gatal, muntah, kelelahan, berat_penurunan, demam tinggi, kulit_kekuningan, urin_gelap, sakit perut,,,,,,,,,
Penyakit kuning,gatal, muntah, kelelahan, berat_penurunan, demam tinggi, kulit_kekuningan, urin_gelap, sakit perut,,,,,,,,,
Penyakit kuning, muntah, kelelahan, berat_penurunan, demam tinggi, kulit_kekuningan, urin_gelap, sakit perut,,,,,,,,,,
Penyakit kuning,gatal, kelelahan, berat_penurunan, demam tinggi, kulit_kekuningan, urin_gelap, sakit perut,,,,,,,,,,
Penyakit kuning,gatal, muntah, berat_penurunan, demam tinggi, kulit_kekuningan, urin_gelap, sakit perut,,,,,,,,,,
Penyakit kuning,gatal, muntah, kelelahan, demam tinggi, kulit_kekuningan, urin_gelap, sakit perut,,,,,,,,,,
Penyakit kuning,gatal, muntah, kelelahan, berat_penurunan, kulit_kekuningan, urin_gelap, sakit perut,,,,,,,,,,
Penyakit kuning,gatal, muntah, kelelahan, berat_penurunan, demam tinggi, urin_gelap, sakit perut,,,,,,,,,,
Penyakit kuning,gatal, muntah, kelelahan, berat_penurunan, demam tinggi, kulit_kekuningan, sakit perut,,,,,,,,,,
Penyakit kuning,gatal, muntah, kelelahan, berat_penurunan, demam tinggi, kulit_kekuningan, urin_gelap,,,,,,,,,,
Malaria, panas dingin, muntah, demam tinggi, berkeringat, sakit kepala, mual, nyeri otot,,,,,,,,,,
Malaria, panas dingin, muntah, demam tinggi, berkeringat, sakit kepala, mual, diare, nyeri otot,,,,,,,,,
Malaria, panas dingin, muntah, demam tinggi, berkeringat, sakit kepala, mual, diare, nyeri otot,,,,,,,,,
Malaria, muntah, demam tinggi, berkeringat, sakit kepala, mual, diare, nyeri otot,,,,,,,,,,
Malaria, panas dingin, demam tinggi, berkeringat, sakit kepala, mual, diare, nyeri otot,,,,,,,,,,
Malaria, panas dingin, muntah, berkeringat, sakit kepala, mual, diare, nyeri otot,,,,,,,,,,
Malaria, panas dingin, muntah, demam tinggi, sakit kepala, mual, diare, nyeri otot,,,,,,,,,,
Malaria, panas dingin, muntah, demam tinggi, berkeringat, mual, diare, nyeri otot,,,,,,,,,,
Malaria, panas dingin, muntah, demam tinggi, berkeringat, sakit kepala, diare, nyeri otot,,,,,,,,,,
Malaria, panas dingin, muntah, demam tinggi, berkeringat, sakit kepala, mual, nyeri otot,,,,,,,,,,
Cacar air,gatal, ruam kulit, kelelahan, kelesuan, demam tinggi, sakit kepala, kehilangan selera makan, ringan_demam, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,
Cacar air, ruam kulit, kelelahan, kelesuan, demam tinggi, sakit kepala, kehilangan selera makan, ringan_demam, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
Cacar air,gatal, kelelahan, kelesuan, demam tinggi, sakit kepala, kehilangan selera makan, ringan_demam, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
Cacar air,gatal, ruam kulit, kelesuan, demam tinggi, sakit kepala, kehilangan selera makan, ringan_demam, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
Cacar air,gatal, ruam kulit, kelelahan, demam tinggi, sakit kepala, kehilangan selera makan, ringan_demam, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
Cacar air,gatal, ruam kulit, kelelahan, kelesuan, sakit kepala, kehilangan selera makan, ringan_demam, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
Cacar air,gatal, ruam kulit, kelelahan, kelesuan, demam tinggi, kehilangan selera makan, ringan_demam, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
Cacar air,gatal, ruam kulit, kelelahan, kelesuan, demam tinggi, sakit kepala, ringan_demam, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
Cacar air,gatal, ruam kulit, kelelahan, kelesuan, demam tinggi, sakit kepala, kehilangan selera makan, pembengkakan_kelenjar getah bening, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
Cacar air,gatal, ruam kulit, kelelahan, kelesuan, demam tinggi, sakit kepala, kehilangan selera makan, ringan_demam, rasa tidak enak, bintik_merah_di atas_tubuh,,,,,,,
demam berdarah, ruam kulit, panas dingin, nyeri sendi, muntah, kelelahan, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, nyeri otot, bintik_merah_di atas_tubuh,,,,
demam berdarah, ruam kulit, panas dingin, nyeri sendi, muntah, kelelahan, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, bintik_merah_di atas_tubuh,,,,
demam berdarah, ruam kulit, panas dingin, nyeri sendi, muntah, kelelahan, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, nyeri otot,,,,
demam berdarah, ruam kulit, panas dingin, nyeri sendi, muntah, kelelahan, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, nyeri otot, bintik_merah_di atas_tubuh,,,
demam berdarah, panas dingin, nyeri sendi, muntah, kelelahan, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, nyeri otot, bintik_merah_di atas_tubuh,,,,
demam berdarah, ruam kulit, nyeri sendi, muntah, kelelahan, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, nyeri otot, bintik_merah_di atas_tubuh,,,,
demam berdarah, ruam kulit, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, nyeri otot, bintik_merah_di atas_tubuh,,,,
demam berdarah, ruam kulit, panas dingin, nyeri sendi, kelelahan, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, nyeri otot, bintik_merah_di atas_tubuh,,,,
demam berdarah, ruam kulit, panas dingin, nyeri sendi, muntah, demam tinggi, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, nyeri otot, bintik_merah_di atas_tubuh,,,,
demam berdarah, ruam kulit, panas dingin, nyeri sendi, muntah, kelelahan, sakit kepala, mual, kehilangan selera makan, rasa sakit_di belakang_mata_, sakit punggung, rasa tidak enak, nyeri otot, bintik_merah_di atas_tubuh,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, mual, sembelit, sakit perut, diare, tampilan_toksik_(kesalahan ketik), sakit perut,,,,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, sembelit, sakit perut, diare, tampilan_toksik_(kesalahan ketik), sakit perut,,,,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, mual, sakit perut, diare, tampilan_toksik_(kesalahan ketik), sakit perut,,,,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, mual, sembelit, diare, tampilan_toksik_(kesalahan ketik), sakit perut,,,,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, mual, sembelit, sakit perut, tampilan_toksik_(kesalahan ketik), sakit perut,,,,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, sakit perut,,,,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, tampilan_toksik_(kesalahan ketik),,,,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, tampilan_toksik_(kesalahan ketik), sakit perut,,,,,,
Penyakit tipus, panas dingin, muntah, kelelahan, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, tampilan_toksik_(kesalahan ketik), sakit perut,,,,,,
Penyakit tipus, panas dingin, kelelahan, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, tampilan_toksik_(kesalahan ketik), sakit perut,,,,,,,
hepatitis A, nyeri sendi, muntah, kulit_kekuningan, urin_gelap, mual, kehilangan selera makan, sakit perut, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,
hepatitis A, nyeri sendi, muntah, kulit_kekuningan, urin_gelap, mual, kehilangan selera makan, sakit perut, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,
hepatitis A, muntah, kulit_kekuningan, urin_gelap, mual, kehilangan selera makan, sakit perut, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,,
hepatitis A, nyeri sendi, kulit_kekuningan, urin_gelap, mual, kehilangan selera makan, sakit perut, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,,
hepatitis A, nyeri sendi, muntah, urin_gelap, mual, kehilangan selera makan, sakit perut, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,,
hepatitis A, nyeri sendi, muntah, kulit_kekuningan, mual, kehilangan selera makan, sakit perut, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,,
hepatitis A, nyeri sendi, muntah, kulit_kekuningan, urin_gelap, kehilangan selera makan, sakit perut, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,,
hepatitis A, nyeri sendi, muntah, kulit_kekuningan, urin_gelap, mual, sakit perut, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,,
hepatitis A, nyeri sendi, muntah, kulit_kekuningan, urin_gelap, mual, kehilangan selera makan, diare, ringan_demam, mata_menguning, nyeri otot,,,,,,,
hepatitis A, nyeri sendi, muntah, kulit_kekuningan, urin_gelap, mual, kehilangan selera makan, sakit perut, ringan_demam, mata_menguning, nyeri otot,,,,,,,
Hepatitis B,gatal, kelelahan, kelesuan, kulit_kekuningan, urin_gelap, kehilangan selera makan, sakit perut, kuning_urin, mata_menguning, rasa tidak enak, menerima_transfusi_darah, menerima_suntikan_tidak steril,,,,,
Hepatitis B,gatal, kelelahan, kelesuan, kulit_kekuningan, urin_gelap, kehilangan selera makan, sakit perut, kuning_urin, mata_menguning, rasa tidak enak, menerima_transfusi_darah, menerima_suntikan_tidak steril,,,,,
Hepatitis B, kelelahan, kelesuan, kulit_kekuningan, urin_gelap, kehilangan selera makan, sakit perut, kuning_urin, mata_menguning, rasa tidak enak, menerima_transfusi_darah, menerima_suntikan_tidak steril,,,,,,
